SubCode,SubName,TheoryPerWeek,PracticalPerWeek
A-101,English,3,
A-102,Engineering Mathematics,5,
A-103,Engineering Physics,4,
A-104,Engineering Chemistry&EnvironmentalStudies,4,
A-105,Engineering Mechanics,4,
A-106,Workshop Technology,4,
A-107,Engineering Drawing,6,
A-108,Basic Work shop practice,,6
A-109,Physics Laboratory,,3
A-110,Chemistry Laboratory,,3
A-111,Computer fundamentals Laboratory,,3
