SubCode,SubName,TheoryPerWeek,PracticalPerWeek
A-501,Industrial Management & Smart Technologies,5
A-502,Design of Machine Elements,5
A-503,Production Technology,5
A-504,Modern Trends In Automobile Engineering,5
A-505,Motor Transport  Organization,4
A-506,CAD Practice,,6
A-507,I.C. Engines Testing and Vehicle Diagnosing Laboratory,,6
A-508,Life Skills,,3
A-509,Project Work,,3
